id,kind,book,subject,chapter,page,number,keyword,formula,reviewNeeded,question
ex-song-0033-01,example,최신 송배전공학,송배전공학,1장 송배전 계동의 구성,33,1.30,444,True,True,"444 각각 2, 6050, 1, 가 같다고 하고 () 같은 aie 전선을 사용할경우 (2) 전선의 전중량을 동일하게 할 경우 단상 2선식과 3상 3썬식의 전력 손실비는 어떻게 되겠는가 (1) 같은 a7 ANS 사용할 경우의 비교 전선의 ari 같으므로 1선당의 AVR 은 같다. 단상] 22404) F wb Ry=aKtn,=3A( 2 이므로 Fis 3, 1 1 ge B-3(S) = 또는 50 한편 du dase 저항[=/ 에 역비레하므로 단상 및 8상의 Gaal"
ex-song-0044-01,example,최신 송배전공학,송배전공학,1장 Sue 계통의 구성,44,17,안정도,True,True,"j SHAS 765(kV]Z 격상시켰을 경우에 AS 수 있는 효과는 1. 대규모 전력 수송이 용이(34506]에 비해 8.4배 중대) 2, 건설에 필요한 소요용지 최소화(34506 ]의 53[%] 경감) 3. 전력 손실 감소(345[6]보다 20[%] 정도 감소) 4. 전력계통의 안정도 향상 5. 국내 전략 분야 기술 도약으로 국제 경쟁력 향상 Cora 1.8 if 우리나라의 SHASS 7OS[KV] - 345[kV] - 154[kV] - 22.9[kV]2] 4"
ex-song-0044-02,example,최신 송배전공학,송배전공학,1장 Sue 계통의 구성,44,1.9,송전,True,True,"우리나라의 송전설비 현황과 그 발달 과정을 설명하라. 그림 1.18~그림 1.159] 보는 바와 같이 초창기(1950년대)에는 154[eV] 방사상 계통 에서 환상망 계통으로 운영하다가 1980년대부터는 송전전압이 345[611로 격상, 84504] 망상계통으로 확충되었다. 그 후 경제성장을 거듭하면서 수요가 크게 늘어나 각처에 대용량 화력발전단지, 대용 량 원자력발전단지가 들어서면서 다시 송전전압이 7650041로 격상되어 이제 우리나라 는 아시아에서도 SEH"
tx-song-0048-05,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,5,송전,True,False,"송전 전력, 부하 역률, 송전 거리, 전력 손실 및 선간 전압이 같을 경우 3상 3선식에서 전선 한 가닥에 흐르는 전류는 단상 2선식의 경우의 몇 배가 되는가"
tx-song-0048-07,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,2,6050,True,False,"6050, l, 가 같다고 하고 전선의 전 중량을 동일하게 할 경 우 단상 2선식과 3상 3선식의 전력 손실비는 어떻게 되겠는가"
tx-song-0048-08,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,7,송전,True,True,"경동선을 77[ /]의 송전선에 사용할 경우 최대 송전 AAS 20,000[kw], 역률을 0.8 로 하면 얼마만한 F719] MMO 가장 경제적으로 되겠는가 단, 전선 1[9]의 가격을 9.000[원/ 9], 전기 요금을 54[원/001], 8 = 0.1, 송전 선로의 연간 이용률은 60%]라 고 한다."
ex-song-0063-01,example,최신 송배전공학,송배전공학,2장 718 송전 선로,63,2.3,38,True,True,"j 38[mm ]2] 경동 연선을 사용해서 높이가 같고 경간이 330[]인 철탑에 가선 하는 경우 OEE 얼마인가 단, 이 경동 AM] 인장 하중은 1180[(9], 안전율 은 2.2이고 전선 자체의 무게는 0.348[9/00]라고 한다. 인장 하중이 1480[681이고 HAL] 8.8이므로 최대 사용 장력 Ty =~ orate T= Tp = Tyt+wD = Ty +0.348D) 이도 DE 그 wS _ 0.348% 3307 _ 사재 7 O4lml Cori2.4"
ex-song-0063-02,example,최신 송배전공학,송배전공학,2장 718 송전 선로,63,2.5,평평한,True,True,"j 평평한 RUA 같은 장력으로 가선된 2경간의 이도가 각각 4[m] 및 9[07]였다. 여기서, 중간 지지점에서 전선이 떨어져서 처지게 되었다고 하면 이도는 얼마로 되겠는가 단, 지지점의 높이는 모두 다 같다고 하고 전선의 신장은 무시하는 것 으로 한다."
tx-song-0079-04,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,4,38,True,True,"38[mm ]2] BS AMS 사용해서 높이가 같고 경간이 300[07인 철탑에 가선하는 경 우 이도는 얼마인가 단, 이 경동 AMO] 인장 SSS 1,480[kg], HIBS 2.2이고 전 선 자체의 무게는 0.334[ 9/0]라고 한다."
tx-song-0079-05,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,5,경간이,True,True,"경간이 250[m]el 가공 전선로에서 전선 1[07]의 무게가 0.41 9], 전선의 수평 장력이 150[191이라고 한다. 이 전선로의 이도외 전선의 실제 길이를 구하여라."
tx-song-0079-06,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,6,온도,True,True,"온도 20[ㄷ]이고 맑은 날씨에 100[mm2]2] ASAS 가선하려고 한다. 경간 230[0]에 서 이도를 계산하니 5.25[], WSS 한 결과는 [mech 이도를 5.25[m]= 늘리기 위 해서는 전선을 얼마나 더 늘려서 가선해야 하는가"
tx-song-0079-08,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,2,011이다,True,True,"=9[011이다. 중앙의 지지점에서 전선이 떨어졌을 때 전선의 지표상의 높이는 최저 몇 [mle 되는가 단, = 15[07]라 하고 전선의 늘어남은 무시한다."
tx-song-0080-04,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,80,11,전압,True,False,50[%] 섬락 전압이란 PAS 의미하는가
ex-song-0087-01,example,최신 송배전공학,송배전공학,3장 지중 송전 선로,87,3.2,송전,True,True,"j 전압 66[kV], 주파수 6O[Hz], 길이 12[17]의 34 3선식 1회선 지중 송전 선로 가 있다. 케이블의 심선 1선당의 정전 용량이 0.4[//1070]라고 할 때 이 선로의 3 상 무부하 충전 ARIA] 및 충전 용량[ / ]을 구하여라."
ex-song-0137-01,example,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,137,4.4,송전,True,True,"j 3상 1회선의 송전 선로에 3상 전압을 인가해서 충전하였을 때 전선 1선에 흐르는 충전 ARE 32[4], 또 3선을 일괄해서 이것과 대지간에 위와 같은 선간 전압의 Fe 인가해서 중전하였을 때 전 충전 전류는 60[4]였다. 이때 전선 1선의 대 지 정전 용량과 선간 정전용량과의 비를 구하여라."
ex-song-0154-01,example,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,154,4.9,송전,True,True,"66[4],1회선 송전 선로에서 1선의 리액턴스가 22[ㅇ1], 전류가 ZOOLA]A 때 % 리액턴스는 얼마인가 먼저 주어진 데이터로부터 기준 용량 Pek 구하면 P, = V3 VI= V3x 66 x 300 = 34,293.6[kVA] 따라서, _ 2 Py _ 22% 34,2036 _ 가 아아 0 (66) 1732[%] (94 4.10 j 송전단에서는 발전기 전압 6.6[kVIE 66(kVIZ 승압하고 수전단에서는 66[ ] 를 3.3[ /]의 부하 전압으로 강"
ex-song-0160-01,example,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,160,4.12,그림,True,True,"j 그림 4.41과 같은 154[kV] 계통이 있다. 각 기기 및 선로의 용량[ / ]별 %임피 던스 값은 그림에 기입한 값과 같다고 할 때 10,000[kVA] 기준으로 환산한 점 에서 본 합성 임피던스를 구하여라."
ex-song-0161-01,example,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,161,4.13,그림,True,True,"그림 4.43 (8)에 나타낸 바와 같은 계통이 있다. 이 계통에 대해서 100,000[ 4 ] 를 기준 용량으로 한 %임피던스도는 그림 4.43 (b)2 같다고 한다. 선로의 점에서 본 전계통의 %.를 구하여라."
ex-song-0171-01,example,최신 송배전공학,송배전공학,4장 42 정수와 코로나,171,4.15,송전,True,True,"j 154[kV], 60[Hz]2] 3상 송전선이 있다. 전선으로서는 37/2.6[0001], 강심 알루 미늄선(지름 1.82[07])을 쓰고 2 = 430[cm] 2] 정3각형 배치로 되어 있다. 기 압 b= 721[mmHg], 71S = 30[ C], 우천의 경우 코로나 임계 전압 및 100] 당의 코로나 손실을 구하여라."
tx-song-0173-04,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,173,4,3상,True,True,"3상 1회선 전송 AROMA 7/3.7[mm]2l 경동 ANS MZ 거리 2.14[07로 정3각형으 로 배치하였을 SL, 지상에서 6.5[m] 높이에 수평으로 일직선 배치하였을 경우의 SAS 작용 인덕턴스를 구하여라. 단, 선로는 완전 연가되어 있다고 한다."
tx-song-0173-05,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,173,5,430,True,True,430[mm7]9 406560(반지름 = 14.6[mm])0 그림 E 4.59 같이 배치되어 완전 연가된 345[kV] 선로가 있다. 이 선로의 인덕턴스
tx-song-0173-08,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,173,6,송전,True,True,"3상1회선의 송전 선로가 있다. 지금 그 중 2선을 일괄해서 대지를 귀로로 하는 인덕턴 AS SSSA 1.78[mH/km], 다음에 3선을 일괄해서 HAS ASS 하는 인덕턴 AZ 측정하였더니 1.57[mH/km]ACt. 이 실측값으로부터 송전 선로의 대지를 Wee 하는 1선 1[00당의 자기 인덕턴스, 상호 인덕턴스 및 작용 인덕턴스를 구하여라."
tx-song-0174-01,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,7,송전,True,True,"아래의 3상 1회선 송전 선로의 작용 임피던스, Z =ㅠ+ joL[O/km]s 구하여라. 단, 주파수는 6072], 저항은 20[ ㄴ]라고 한다. (1) 154[kV] MZ 410[mm ] ACSR, 알루미늄(26/4.5[000]), BM(7/3.5[mm]) (2) 154[kV] MZ 200[mm ] 19/3.7[mm] (HDCC) D=5[m] (3) 66[kV] 42 100[mm ] 7/4.3[mm] (HDCC) D=3[m] (4) 66[kV] MZ 55[mm"
tx-song-0174-02,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,8,송전,True,True,"AEA 두 개로 된 복도체 방식의 3상 3선식 송전 선로가 있다. 소도체의 지름 2100], 소도체 ZA 16lom], 등가 선간 거리 200[007]일 경우 1상당의 작용 정전 SBluF/km] 은 얼마인가"
tx-song-0174-03,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,9,송전,True,True,"3상 SMA 3각형 배치의 송전 선로가 있다. 선로가 연가되어 각 선간의 정전 SBS 0.009[uF/km], 각 선의 대지 정전 SS 0.003[wF/kmJeta 하면 1선의 작용 정전 용량[//107 은"
tx-song-0174-04,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,10,전압,True,True,"어느 발전소의 발전기는 전압이 13.2[ ], 용량이 93,000[kva]ola 동기 임피던스 Z,= 95[%]라고 한다. 이 발전기의"
tx-song-0174-05,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,4,해당하는가,True,False,는 몇 [요]에 해당하는가
tx-song-0174-06,exercise,최신 송배전공학,송배전공학,4장 선로 정수와 코로나,174,11,변압기,True,True,"단상 변압기의 SEE 20,000[kVA] 9대, 전압 11/154[kV], A-Y 결선, 저항 0.6[%], 리 액턴스 12[%]의 3뱅크의 설비가 있다. 고압측에서 본 전 뱅크의 임피던스[)]을 구하 여라. 스모 저알모션 고알모선 11060 154[kV]"
ex-song-0186-01,example,최신 송배전공학,송배전공학,5장 송전 특성,186,5.5,송전,True,True,"j 100[mm ] 경동 연선(7/4.3[0007])을 전선으로 사용한 38 60[Hz], 길이 100 [km], 등가 선간 거리 3[77]의 1회선 송전 선로가 있다. 전선의 사용 온도를 40[ ㅇ] 라고 가정해서 (1) 이 송전 선로를 (가) 집중 임피던스 회로 (나) TS 회로 (다) 7형 회로 로 하였을 때의 등가 회로"
ex-song-0195-01,example,최신 송배전공학,송배전공학,5장 송전 득성,195,5.6,송전,True,True,"j HO 300[km]2] 3상 1회선 송전선이 있다. 지금 단위 길이당의 임피던스 및 어 드미턴스가 각각 2 =rt jx =0.09475 + 7 0.4932[0/km] y =jwC= 73.325 x 107 [6/km] 라고 한다. HBS 무시한 경우의 이 송전선의 특성 임피던스 2,, 및 전파 ys + 를 구하여라."
ex-song-0203-01,example,최신 송배전공학,송배전공학,5장 송전특성,203,5.9,송전,True,True,"j 길이 100[07]의 34 3선식 1회선 송전 선로가 있다. 이 선로의 저항 r=0.1905[Q/km], 리액턴스 = 0.4821[0/km], 서셉턴스 8= 3.410 ×10 [65/ 07]라 할 때 이 선로의 (1) 4단자 정수 4, 2, , DE 구하여라."
ex-song-0206-01,example,최신 송배전공학,송배전공학,5장 송전특성,206,5.11,변압기,True,False,"그림 5.15처럼 송전단 및 수전단 변압기의 임피던스를 각각 , , 2, 라 하고 선 로의 4단자 정수를 A, 2, C, 2라고 할 때 이 회로의 합성 4단자 정수 Ay, B, Co, DoS 구하여라."
ex-song-0207-01,example,최신 송배전공학,송배전공학,5장 송전특성,207,5.12,그림,True,False,"그림 5.17처럼 정수가 다른 선로가 병렬로 접속되어 있을 경우 이들을 종합한 합 성 4단자 정수 Ay, By, , Dy 구하여라."
ex-song-0230-01,example,최신 송배전공학,송배전공학,5장 송전 특성,230,5.16,전류,True,True,"j 345[kV] 2회선 선로가 있다. 선로 길이가 250[07]이고 선로의 작용 용량이 0.01[//600]라고 한다. 이것을 자기 여자를 일으키지 않고 충전하기 위해서는 최소한 몇 [kVA] 이상의 발전기를 사용하여야 하는가 단, 발전기의 단락비는 11, 포화율은 0.12라고 한다. 선로의 충전 용량을 구하기 위해서는 먼저 1선을 흐르는 충전 전류 를 계산하여야 한 다. L.=2nfCl er 2x 60 0.01 x 107% x 250% a 187.2[A] 따"
tx-song-0242-01,exercise,최신 송배전공학,송배전공학,5장 송전 특성,242,1,송전,True,False,"송전 선로는 선로 길이에 따라 그 취급을 달리할 + 있다. 이것을 단거리. 중거리, 장거 리로 나누어서 그 개요를 설명하여라."
tx-song-0242-02,exercise,최신 송배전공학,송배전공학,5장 송전 특성,242,2,송전,True,True,"길이 20007], 저항 0.3[Q/km], 리액턴스 0.4[요/107]인 3상 3선식 단거리 송전 선로 가 있다. 수전단 전압이 60,000[ /], 부하 역률 0.8(지상), 선로 AAS 10[%]et 할 때 송전단 전력"
tx-song-0242-03,exercise,최신 송배전공학,송배전공학,5장 송전 특성,242,2,송전,True,False,및 송전단 전압 는 각각 얼마로 되겠는가
tx-song-0242-04,exercise,최신 송배전공학,송배전공학,5장 송전 특성,242,3,송전,True,True,"MEO] 8[요], 리액턴스가 14[]인 22.9[kVA] 선로에서, 수전단의 피상 전력이 10,000 [kVA], 송전단 전압이 22.9[/], 수전단 전압이 20.6[1 /]라고 할 경우 이 선로의 수전단 역률은 얼마인가"
tx-song-0242-05,exercise,최신 송배전공학,송배전공학,5장 송전 특성,242,4,송전,True,True,"3상 송전 선로가 있다. 전선 1가닥당의 r=15[0], = 30[으]이고, 수전단 전압이 3O[KV], 부하의 역률이 80[%]일 경우 전압 강하율이 8[%)였다고 한다. (1) 이 송전 MBE 몇 [kw] 수전할 수 있겠는가 (2) 이 때의 전력 손실 및 전력 Agee 얼마인가"
tx-song-0244-02,exercise,최신 송배전공학,송배전공학,5장 송전 특성,244,16,송전,True,True,"송전선의 4단자 정수가 다음과 같이 주어져 있다. A=D=0.95 B= 565(Q] ㅇ=421.5×10 [0] (1) 무부하시에 송전단 전압을 154[kvle 유지하려고 한다, 이때 수전단에서 필요로 하는 조상 용량을 구하여라. (2) 부하 150[MW], 역를 0.8(지상)일 때 송전단 Mets 159[kv], 수전단 전압을 147[ ] 로 문전하는 데 소요될 조상 용량 및 송전 전력을 구하여라."
tx-song-0244-03,exercise,최신 송배전공학,송배전공학,5장 송전 특성,244,17,송전,True,True,"길이 500[km]o] 송전 선로가 있다. 그 수전단을 단락하였을 경우 송전단에서 본 임피 던스가 7 275 Q], 또 수전단을 개방하였을 경우 송전단에서 본 어드미턴스가 71.72 ×10 키[0]였다고 한다. 이 송전 선로의 특성 임피던스 및 전파 정수를 구하여라. 단, tanh j 0.6025 = 7 0.683이라고 한다."
tx-song-0244-04,exercise,최신 송배전공학,송배전공학,5장 송전 특성,244,18,송전,True,True,"그림 ㄷ 5.182 같은 22[/] 3상 60 사이클, ZO] 30[km]2] 송전선이 있다. 전선 1가닥의 r=0.32[0/km], = 0.47[요/100], 2 , 끄는 다같이 25[MVA] x 3대, 3,300/22,000[V], X,, = ㅅ,, = 2.5[%]이다. 송전단 1차 전압 3,300[V], 수전단 2차 전 류 270[4], 그 역률이 0.8(지상)일 경우의 수전단 2차 전압, 송전단 1차 역률, 송전단 전력 및 송전 손실을 구하여라. a 1차"
tx-song-0244-05,exercise,최신 송배전공학,송배전공학,5장 송전 특성,244,19,송전,True,True,"문제 182] 선로에서 수전단 2차 Met 3,000[V], SHE 전력 1,200[kW], 역률 0.8(지 상)일 경우의 송전단 1차 전압 및 수전단 전력을 구하여라."
tx-song-0273-07,exercise,최신 송배전공학,송배전공학,6장 중성점 접지 방식과 유도 장해,273,7,송전,True,True,"154[kV], 60사이클, 선로 길이 200[07]의 병행 2회선 송전선에 설치하는 소호 리액터 의 공진 탭 SSS 계산하여라. 단, 1선의 대지 정전 SSS 0.0043[uF/km]atz 한다."
tx-song-0273-09,exercise,최신 송배전공학,송배전공학,6장 중성점 접지 방식과 유도 장해,273,9,송전,True,True,"154[kV], 601721의 34 3선식 송전선에서 전선 1선당의 대지 정전 용량은 각각 다음 과 같다고 한다. C6, =0.935[uF], G,=0.95[zF], 2 = 0.95[/00 이때 중성점이 개방되어 있을 경우 중성점에 나타나는 잔류 전압은 얼마로 되겠는가"
tx-song-0274-01,exercise,최신 송배전공학,송배전공학,6장 중성점 접지 방식과 유도 장해,274,10,배전,True,True,"그림 ㄷ 6.10과 같은 선로에서 b, = 500[m], 5 = 700[m], 6 = 600[m], b, = 500[m], = 50971. by = 40970, 2 100 = 30001. too = 10001, troo-s = 2-5 km], tsa = 5[km] 이다. 배전선은 60121, 3상 1회선인데 지락 사고 때문에 영상 전류 SOfAl7t 전선에 걸 쳐 균등하게 흐른다고 할 때 통신선에 유기될 전자 유도 전압을 구하여라. 단, 지질 계 수는 0.000"
ex-song-0279-01,example,최신 송배전공학,송배전공학,7장 고장 계산,279,7.1,전류,True,True,"의 SHE SHOE 풀어라. 먼저 기준 용량으로서 , =100,000[4]를 잡으면 정격 전류 Le 4 = 13 4 으로 부터 _ 100.000 _ 시 06 이 _ 50 374.9 _ Yor, = 70007 100 = 21.08[%] %e, = 11x aan = 18.33[%)"
ex-song-0281-01,example,최신 송배전공학,송배전공학,7장 고장 계산,281,7.4,변압기,True,True,"154[(01/22.9[60],12,000[/4]의 3상 변압기 1대를 갖는 변전소로부터 길이 3[1000]의 1회선 고압 배전 MES 공급되는 수용가 인입구에서의 3상 단락 전류 를 구하여라."
ex-song-0282-01,example,최신 송배전공학,송배전공학,7장 고장 계산,282,7.5,그림,True,False,( 그림 7.4와 같은 발전소에서 각 유입 차단기(28)의 차단 용량을 계산하여라.
ex-song-0289-01,example,최신 송배전공학,송배전공학,7장 고장계산,289,7.6,전압,True,True,"지금 3상 전압이 불평형으로 되어 각각 y,=7.3/12.5 , ,=0.4 / 100 , = 4.47154 로주어져 있다교할경우 이들의 대칭 성분 Vo, Vi, 를구하여 라."
ex-song-0293-01,example,최신 송배전공학,송배전공학,7장 고장 계산,293,7.7,전압,True,True,"j BA 10[MVA], 무부하 단자 Het 6.6[kV]2 동기 발전기가 있다. 이 발전기의 대칭분 임피던스는 다음과 같다. 스=0.08+74.38[0] Zy = 0.49 + 51.34[Q)] 4 = 0.16 +50.54[Q] 지금 이 발전기의 a, 6, 상의 전기자 권선에 다음과 같은 불평형 전류 4, =338-7516[41 5, =- 146-7474[A] Z,= 108+ 5352[A] 가 흐를 때 이 발전거의 단자 전압(상전압 및 선간 전압)을 구하여라."
ex-song-0301-01,example,최신 송배전공학,송배전공학,7장 고장 계산,301,7.10,전압,True,False,"j 그림 7.142 같은 발전기에 대해서 6, 상의 2단자가 접지하였을 경우(2선 접지 사고)의 지락 전류를 계산하며라. 또, 이때 개방 단자 상의 전압도 구하여라."
ex-song-0311-01,example,최신 송배전공학,송배전공학,7장 고장 계산,311,7.11,전류,True,False,j 그림 7.232 BE 154[kV] 1회선 SAMO] 있다. 선로의 중앙에서 141 지락 고장 이 발생하였을 경우 지락 전류의 크기를 구하여라.
ex-song-0312-01,example,최신 송배전공학,송배전공학,7장 고장 계산,312,7.12,전류,True,False,j 그림과 같은 DAS 접지의 SH 계통에 있어서 점에서 1선 지락 고장이 발생하 였을 경우의 지락 전류를 계산하여라.
tx-song-0316-01,exercise,최신 송배전공학,송배전공학,7장 교장 계산,316,1,전류,True,False,"3상 불평형 전류를 /,,"
tx-song-0316-02,exercise,최신 송배전공학,송배전공학,7장 교장 계산,316,4,전류,True,False,라고 하였을 경우 대칭분 전류를 구하는 계산식을 보이고 그 물리적 의의에 대해서 설명하여라.
tx-song-0316-05,exercise,최신 송배전공학,송배전공학,7장 교장 계산,316,4,배전,True,True,그림 ㄷ7.4와 같은 22[kv] 3상 1회선 선로의 점에서 3상 단락 고장이 발생하였다면 고장 전류[는 얼마로 되겠는가 입 배전 선로 06 R4jX=204425.5(Q) F Xe=20%) Xp=10%) 10000 kva) 10000(kVA)
tx-song-0316-06,exercise,최신 송배전공학,송배전공학,7장 교장 계산,316,5,변압기,True,True,"그림 ㄷ7.5와 같은 무부하의 송전선의 8점에서의 3상 단락 전류를 계산하여라. 단, 발전 기 Gy, 6,는 각각 150,000[kVA], 11[kV], 리액턴스 30[%], 변압기 T= 300,000[kVA], T1/154[kV], 리액턴스 8[%], 송전선 76간은 5007], 리맥턴스는 0.5[으/ 07]라고 한 다. 15000000040 버 s 3000000kVA 4=05( Sen) = 80%) 150000 kVA)"
tx-song-0318-02,exercise,최신 송배전공학,송배전공학,7장 교장 계산,318,6,전압,True,True,"상 사이가 단락되었을 경우의 단락 전류와 각 선의 전압을 계산하여라. 픈 =__oy, L=0 님 (3 고장 전의 선간 전압 66001V] rar 4=06/78 (0) 나 1001 4=45/39 [Q]"
tx-song-0318-03,exercise,최신 송배전공학,송배전공학,7장 교장 계산,318,9,송전,True,False,"THE 7.99 같이 , 8 양 발전소를 연결하는 154[ /]의 3상 SAMO 있다. 무부하 상태에서 송전선의 중앙 지점에서"
tx-song-0318-04,exercise,최신 송배전공학,송배전공학,7장 교장 계산,318,6,변압기,True,True,"ㅇ 상의 2선이 동시에 접지되었을 때 건전상인 3상 의 교장 전과 고장 후의 전위를 비교하여라. 단, 회로 정수로서는 저항과 정전 용량을 무시하고 154[kV], 45(MVAJE 환산한 다음의 유도 리액턴스만을 고려하는 것으로 한 다. 발전기 AO] 정상 및 역상 임피던스 35[%] 발전기 8의 정상 및 역상 임피던스 28[%] 변압기 7,의 리맥턴스 10[%] 변압기 7,의 리액턴스 8[%] 송전선의 정상 및 역상 리액턴스 2[%] (송전단에서 본 값임) 송전"
ex-song-0330-01,example,최신 송배전공학,송배전공학,8장 안정도,330,8.3,전압,True,True,"[ 그림 8.7과 같은 17] 무한대 모선 ASS 정태 안정도를 해석하여라. 단, 모든 at 2 1,000[MVA] 기준의 단위값이라고 한다. 주 705 jlo Ea 1.05/6, Loot 모밀 계통 Qe 받전기의 전류 be , _ Fil, ~ Blo a= =, [90 발전기의 내부 전압 He B= 476 + 1% E,[0, ~By/0 = E, (8, +2490 ie , al of Te) = _ =E,(9, (+34)-0 (2 = 1.575 /6, 0.5 한편,"
ex-song-0339-01,example,최신 송배전공학,송배전공학,8장 안정도,339,8.5,고장,True,False,"j 그림 8.14에 보인 계통에서 1선 지락, 2선 지락, 2선 단락 사고가 발생하였을 경우 의 각각의 등가 정상 고장 임피던스를 구하여라."
tx-song-0355-08,exercise,최신 송배전공학,송배전공학,8장 안정도,355,9,송전,True,True,"그림 ㄷ8.9와 같은 동기 발전기가 2회선의 SAMS 거쳐 무한대 모선에 접속되어 있다 고 할 때 이 ASO 최대 가능 송전 전력은 몇 [MWe 되겠는가 단, 이때의 기준 용량 은 1,000[MVAIE 취하는 것으로 한다. V,=10 ee ei V4=155/256 Py=0584"
tx-song-0356-01,exercise,최신 송배전공학,송배전공학,8장 안정도,356,10,송전,True,True,"그림 8,102 같이 발전기와 전동기가 송전 선로를 통해서 연결된 2기 시스템이 정상 상태로 운전하고 있다. 다음 두 가지 경우에 대한 정태 안정도를 해석하여라. 단, 수전 BAS 1.2[ㅁ0], 전동기의 ABS 1.0이라고 한다. (1) 송전 선로가 평행 2회선인 경우 (2) 송전 선로가 1회선인 경우 Xin E Ou 700 Vie En 21 AS"
tx-song-0356-03,exercise,최신 송배전공학,송배전공학,8장 안정도,356,12,전류,True,False,"그림 E 8.129 같은 2기 계통의 중간점 에서 고장이 발생하면 고장 임피던스 78S 해 1,2] 고장 전류가 흐른다고 한다. 이 경우 이 계통에서의 고장 중의 전송 전력은 어 떻게 되겠는가 또, 이때"
tx-song-0356-04,exercise,최신 송배전공학,송배전공학,8장 안정도,356,2,Bp,True,True,"= Bp=1.0[PU],"
tx-song-0356-05,exercise,최신 송배전공학,송배전공학,8장 안정도,356,2,고장,True,True,"= Zp = 0-2[PU], 2 = 0.1[040]라고 할 때 고장 중 전 송 전력 Pyle 교장 전 전송 전력 2/ 의 몇 배가 되겠는가 ch 고장 전후에서 By, By 및 양기간의 상차각 0/,는 변하지 않는 것으로 한다. 0220 그 Es a 4 Ep 4[]4 교장 임피던스의 삽입"
ex-song-0370-01,example,최신 송배전공학,송배전공학,9장 이상 전압,370,9.1,파동,True,True,"파동 임피던스가 500[으]인 가공 SAN [km] so] 정전 용량, 인덕턴스를 구 하여라. Lkm) 39] 인덕턴스를 L[mH/km], VA 용량을 0[/ /1021라고 하면 4 파동 임피던스 2 = 5 =s0001 a 전파 속도 v= Jie 3 10 [km/s] 이므로, 이 두 식으로부터 4, ㅇ를 구하면 L=167x 10 [H/km] = 1.67[mH/km] =6.7X10- [F/km] = 0,0067[HF/km]"
