키워드,출제횟수
분산전원,18
화력발전,18
발전기,17
배전계통,16
전력계통신뢰도,15
HVDC,15
변압기,13
CT,12
전압무효전력,11
고장전류,10
원자력발전,10
전력계통주파수,10
태양광발전,10
풍력발전,10
ESS,10
가공송전선로,9
동기발전기,9
배전선,9
전력조류계산,9
차단기,9
피뢰기,9
고조파,8
속도조정률,7
송전선로,7
수력발전,7
가스터빈발전,6
경제부하배분,6
기타,6
변압기손실,6
역률,6
열효율,6
유도장해,6
전압변동률,6
22.9kV배전선로,5
무효전력,5
발전기출력가능곡선,5
변압기냉각방식,5
송전용량,5
전력케이블,5
중성점접지,5
케이블,5
해상풍력발전,5
단권변압기,4
변압기병렬운전조건,4
수차비속도,4
신재생발전기,4
전압안정도,4
증기터빈,4
KEC,4
22.9kV케이블,3
가공송전선,3
가변속양수발전,3
가상발전소,3
계기용변류기,3
계통접지,3
고장점탐지,3
과도안정도,3
대용량발전기,3
발전기계통병입조건,3
발전기단락전류,3
배전선로전압강하,3
변압기각변위,3
변압기여자돌입전류,3
복합발전,3
부하응답모델,3
비상발전기,3
양수발전소,3
열병합발전,3
전력계통,3
전력용변압기,3
전력원선도,3
접지,3
접지저항,3
중성점잔류전압,3
중성점접지리액터,3
지중케이블,3
캐비테이션,3
태양광인버터효율,3
IGCC,3
PSS,3
SMR,3
3고조파,2
4단자정수,2
감속재,2
개방사이클가스터빈,2
고압유도전동기,2
나임계전압,2
단거리송전선로,2
단상전력,2
대용량유입식변압기,2
대칭좌표법,2
맥스웰방정식,2
모선구성방식,2
발전기동기투입,2
발전기지락전류,2
배전선로보호협조,2
배전손실,2
변압기고조파,2
변압기비율차동보호,2
보조서비스,2
보호계전기용CT,2
보호계전기중거리계전기,2
분산전원재병입,2
아크플래시,2
안정도향상대책,2
전력계통안정화장치,2
전력손실,2
절연협조,2
주접지망,2
주파수제어,2
중거리송전선로,2
철공진,2
초전도기술,2
초전도한류기,2
코로나발생,2
콘덴서개폐,2
터빈바이패스운전,2
토리첼리정리,2
한국형RE100,2
한류리액터,2
해저케이블,2
AMI,2
C200,2
GIS,2
PWR,2
STATCOM,2
-factor가변압기,1
%임피던스,1
3권선변압기,1
3권선변압기결선,1
3권선변압기등가회로,1
3권선변압기차동보호,1
가공배전선로,1
가공송전선로절연간격,1
가공송전용연선,1
가공송전접지,1
가공송전철탑,1
가공전선,1
가스터빈,1
가우스법칙,1
간-전류특성,1
간부하첨두부하담당발전소,1
감속재·냉각재,1
강제순환식보일러,1
같이3상3선식,1
같이무한히연결할때ab간,1
같이전원이제거된후두초기조건즉초기전,1
개폐서지,1
거리계전기,1
거리계전방식,1
건조섬락전압,1
검측업무기본수행방향,1
경동연선강심알루미늄선내열강심알루미,1
계기용변압기,1
계전기,1
계전기부담,1
계통운영시스템,1
계통전압이너무낮,1
계통전압이정격전압보다낮거나높,1
고압및저압배전선로,1
고압전동기용과전류계전기,1
고압차단기,1
고압케이블단면적,1
고온초전도체,1
고장용량이3500mva∞인전원에,1
고장전류계산,1
고장종류별안정도,1
고장파급방지장치,1
고조파발생원인,1
고조파와역률,1
고체산화물연료전지sofcsolid,1
공급하기위하여배전선,1
공동현상cavitation발생원인,1
과전류보호계전기협조,1
관대지전위차管對地電位差,1
관로내케이블,1
교류단상2선식배전선로,1
구하여등가3모선계통,1
균등화발전비용,1
그특징,1
기준전류기준임피던스,1
나타내는암페어,1
냉각재,1
능동형전기품질보상기,1
다기계통,1
단락시험,1
단락용량,1
단락전류억제대책,1
단상변압기,1
단상변압기병렬운전,1
단자정수는a=098b=j707c=,1
닫아서정현파교류기전력sinv,1
대용량발전소,1
대용량변압기,1
대용량전원이전력계통,1
대용량화력발전기,1
대지고유저항률측정방법,1
대지전압은몇v,1
대칭분리액턴스,1
덕커브,1
도회복전압trvtransientr,1
동기화력synchronizingp,1
동수력학,1
디지털변전소,1
디지털보호계전기,1
때영상정상역상대칭분회,1
랭킨사이클,1
리액터종류,1
리클로저,1
리튬이온축전지,1
마이크로그리드,1
망방정식보다모선방정식,1
매설지선,1
머레이루프법,1
모선결선방식,1
모선보호계전방식들,1
목재펠릿woodpellet보일러,1
몰드변압기,1
몰드mold변압기,1
무구속속도,1
무부하변압기,1
무부하시험,1
무화제도eersenergyeffi,1
미소신호안정도smallsignal,1
반영하여안정적이고경제적인전력공급,1
발전기보호장치,1
발전기용량산정,1
발전기자기부하제어,1
발전비,1
발전용보일러,1
발전측면송배전측면판매측면소비자측면,1
배까지늘리고자할경우전압은몇배,1
배압식터빈,1
배전계통계획,1
배전계획에있어다음변압기,1
배전선로무정전공법,1
배전선로분할,1
배전용변압기,1
배전용변전소,1
배전자동화,1
배전지중케이블,1
배전케이블,1
배터리형에너지저장장치battery,1
법적인측면2열공급측면3전기공급측면,1
변압비측정,1
변위전류,1
변전기기,1
변전소접지,1
변전소mesh접지,1
보호계전관련용어,1
보호계전기동작협조곡선,1
보호대책,1
복도체가공송전선로,1
복소전력,1
부유식해상풍력발전,1
부하관리,1
부하시탭절환장치,1
부하율이좋으면손실옴손이적음,1
부하율f분산부하율f손실계수h,1
분로리액터,1
사고발생률,1
상단락사고,1
상단락사고전류크기,1
상부저수지에매초30m3수량,1
서지흡수기,1
선계전방식전류순환식,1
선로정수,1
선식다중접지,1
선지락2선지락2선단락사고가발생하였,1
선택하여특징,1
섬락전압flashovervolta,1
소규모전력,1
속응여자방식quickrespons,1
손실방정식,1
송전계통,1
송전계통보호장치,1
송전선,1
송전선로인덕턴스,1
송전선보호,1
송전선이있다이송전선,1
송전전압결정,1
수냉각형원자,1
수소에너지제조기술저장기술,1
수요관리측면,1
수요관리demandsidemana,1
수용가측면,1
수용가특고압수전설비정전작업,1
수전단전압,1
수차발전기,1
수차발전기와터빈발전기,1
수차발전기와화력용터빈발전기,1
순시전압변동,1
슈퍼커패시터,1
스마트그리드,1
스위치야드,1
스템송풍방식,1
스포트네트워크,1
신뢰도,1
신재생발전,1
신재생에너지,1
신재생에너지등변동성이높은에너지원,1
실효저항,1
안정도종류,1
안정도판,1
알루미늄권선변압기,1
암모니아혼소발전,1
애자섬락전압,1
애자염진해,1
양수발전,1
에너지저장기술,1
에너지저장기술에대해서다음,1
에전파해온진행파,1
에흐르는선전류i,1
에tap비가111인lrt접속,1
역학적열적전자기적화학적방식,1
연료전지,1
연입률,1
열전현상을이용한발전기,1
예비력,1
예비전원설비자가발전설비용량선정기준,1
우리나라전력계통운영,1
운전할때사고발생률,1
원통형동기발전기,1
원활하게하기위하여유연성flexib,1
유도장해차폐,1
유입변압기,1
유입변압기와몰드변압기,1
유입식변압기,1
유전율,1
유전율·투자율,1
유전체손,1
육상풍력·해상풍력,1
이상전압,1
이중모선절체,1
인가하여어느값에도달하게되면급격하게,1
인대용량발전원이전력계통,1
인ab전력계통,1
임피던스는r=09ω/kmx=04ω,1
입축형수차발전기,1
자기여자현상,1
자기유지시퀀스,1
자동발전제어agc,1
자동발전제어agcautomatic,1
자동부하전환개폐기alts,1
자동전압조절장치avr,1
자연순환보일러,1
장거리대용량송전선로,1
재생에너지개발이용보급촉진법에,1
재생에너지원수용능력hostingc,1
재생에너지출력제어,1
재폐로계전기,1
저압배전선로,1
저압뱅킹배전방식,1
저주파진동,1
저항3ω에흐르는전류ia,1
全계통정전,1
전기방식電氣防飯,1
전기에너지저장기술,1
전기자반작용,1
전기자반작용현상을발전기,1
전기품질,1
전동기절체,1
전력거래,1
전력계산방법,1
전력계통사고파급,1
전력계통유효접지,1
전력계통혁신방안,1
전력구감,1
전력구종합감시시스템,1
전력망건설회피기술,1
전력설비건설사업관리,1
전력수급비상,1
전력수요관리,1
전력시장운영,1
전력용케이블,1
전력용콘덴서,1
전력품질,1
전류가유도되어정전유도전자유도가발생,1
전압강하율·전압변동율·전력손실율,1
전압분포,1
전압불평형률,1
전압유지범위,1
전압이너무높거나낮,1
전압전류,1
전압조정방법,1
전압특성,1
전압sin,1
전철변전소,1
절연레벨,1
접지전극을병렬로접지,1
정동작,1
정리bernoulli’stheor,1
정현파,1
주변압기,1
주파수변경운전,1
주파수조정용발전소,1
중성선단선,1
중장기배전계획,1
중첩의원리,1
증분송전손실,1
지락전류,1
지락전류검출방식에대해,1
지열발전,1
지중배전선로,1
지중배전케이블진단,1
지중송전선로,1
지중송전선로케이블,1
지중송전케이블,1
직류송전방식,1
직류조류,1
진행파,1
차단기정격,1
차이점,1
참고하여등면적법,1
철탑계탑공법鐵塔繼塔工法,1
첨두부하운전,1
초고압계통전력케이블,1
초고압송전선로,1
초전도자기에너지저장설비smes,1
총괄비용법,1
최대송전가능점,1
최적경제운용,1
추기복수식터빈,1
케이블반사파,1
케이블허용전류,1
콘덴서에관한아래사항,1
통합조류기upfcunifiedpo,1
파동임피던스surgeimpedan,1
페란티현상ferrantipheno,1
펠톤수차,1
평형3상부하에전력,1
표준충격전압파형,1
풍력터빈,1
플레밍의법칙을발전기,1
핑galloping현상,1
한류기,1
한무인발전소,1
할때발전비용이최소가되는최적발전출력,1
항력형풍차,1
해수염도차발전,1
핵융합·핵분열,1
허용인체통,1
화력발전기,1
화력발전소단독운전,1
흐르는전류는,1
bewley가고안한격자도latti,1
blackout대정전발생원인,1
COS,1
EMS,1
helpertower공법,1
hz정현파교류,1
insulationcoordina,1
k-factor변압기,1
㎸배전선,1
LOLP,1
LVRT,1
OLTC,1
PenaltyFactor,1
PMU,1
PT,1
r-l-c회,1
sf6가스절연변전소gis,1
spotnetwork배전방식,1
SSR,1
STACIR/AW,1
SVC,1
TCSC,1
THD,1
wkg/m라할때전선지지점에고저차가,1
X/RRatio,1
Y행렬축약,1