status,priority,book,subject,page,numberCandidate,markerType,ocrLine,ocrPreview,extractedIds,extractedQuestion
추출됨,낮음,전력계통공학,계통공학,306,6-14,word,이제 6-14,"이제 6-14 그림 6-18과 같은 27 계통에서의 손실 계수(2, , )는 다음과 같다고 한다. By, =0.001[1/MW]",ex-grid-0306-01,"그림 6-18과 같은 27 계통에서의 손실 계수(2, , )는 다음과 같다고 한다. By, =0.001[1/MW] By = 0.0005[1/MW] Boo = 0.0024[1/MW] 또, 이때 2 발전기의 증분 연료비 계수는, Ba Path + F=00l 2.=20 ak, 222 FoPat he 20001 fy=15 라고 할 때 이 계통의 경제 부하 배분을 결정하여라. 프 쓰 eS Fe 그림 "
추출됨,낮음,전력계통공학,계통공학,312,6-15,grid_alias,Fi 675,"Fi 675 그림 6-229 같이 수력 171, 화력 1712 된 모델 계통이 있다. 지금 각 발전기의 연료비",ex-grid-0312-01,"그림 6-229 같이 수력 171, 화력 1712 된 모델 계통이 있다. 지금 각 발전기의 연료비 및 사용 수량 는 다음과 같이 주어져 있다고 한다. 시=0+62.+오개 % = 0 + PyPy + Pe 한편 송전 손실 Pe = ByP, +2ByP,P,+ 280 이라고 할 때 이 모델 계통의 수ㆍ화력 협조 방정식을 구하여라."
추출됨,낮음,전력계통공학,계통공학,316,6-18,grid_alias,Wi 6-18,Wi 6-18 BE 발전소 각 1개소로 구성된 계통이 있다. 이 계통의 부하 곡선이 그림 6-24처럼 주 어지고 각 운용 조건이 다음과 같이 주어질 때 각 발전소의 최적 부하 운전 곡선을 결정하여,ex-grid-0316-01,"BE 발전소 각 1개소로 구성된 계통이 있다. 이 계통의 부하 곡선이 그림 6-24처럼 주 어지고 각 운용 조건이 다음과 같이 주어질 때 각 발전소의 최적 부하 운전 곡선을 결정하여 a 단, 송전 손실은 무시하는 것으로 한다. 수력 발전소의 출력 -수량 특성 Q(Px)=3+ Pxt 6X10 ) Py [m /s] 24시간에 대한 사용 수량 w= f olPy)dt =1,000 m - h/s]"
추출됨,낮음,전력계통공학,계통공학,344,7-1,grid_alias,wa7,wa7 3상 SMA 배전선의 말단에 1S0[KWIE 역률 80[%의 평형 3상 부하가 있다. 지금 부하점에 부 하와 병렬로 전력 콘덴서를 접속해서 선로 손실을 최소로 하고자 한다. 이애 필요한 콘덴서의,ex-grid-0344-01,3상 SMA 배전선의 말단에 1S0[KWIE 역률 80[%의 평형 3상 부하가 있다. 지금 부하점에 부 하와 병렬로 전력 콘덴서를 접속해서 선로 손실을 최소로 하고자 한다. 이애 필요한 콘덴서의 용량 / 을 구하여라.
추출됨,낮음,전력계통공학,계통공학,345,7-2,grid_alias,Wi 7-2,"Wi 7-2 187[ /]의 무한대 모선으로부터 r= 2[%], c= 10[%]9] 임피던스를 거쳐서 FE 08, 유효 전력 P=1.0[PU]9 부하에 전력을 공급하고 있을 경우",ex-grid-0345-01,"187[ /]의 무한대 모선으로부터 r= 2[%], c= 10[%]9] 임피던스를 거쳐서 FE 08, 유효 전력 P=1.0[PU]9 부하에 전력을 공급하고 있을 경우 (1) 부하의 무효 전력 Q, 부하의 공급 전압 V, 2 04762, aV,/aQel zt 때 on 3) = a7 faQ7 값 을 구하여라."
추출됨,낮음,전력계통공학,계통공학,346,7-3,word,에제 7-3,"에제 7-3 그림 7-6에서 B= 발전기 기전력, 는 부하 단자 전입, R+ XE 발전기의 내부 리액턴 스까지 포함한 송전 계통의 임피던스이다. 일반적으로 송전 계통에서는 AR XT 성립한다.",ex-grid-0346-01,"그림 7-6에서 B= 발전기 기전력, 는 부하 단자 전입, R+ XE 발전기의 내부 리액턴 스까지 포함한 송전 계통의 임피던스이다. 일반적으로 송전 계통에서는 AR XT 성립한다. 이러한 경우 송전선상의 유효 전력은 와 의 위상치에, 무효 전력 Ok 송전 계통의 전압 강하에 밀접하게 관계한다는 것을 보여라. RX 7 f 그 fy sy 5 올리 mat 90 . 869 이 80 [후 yt i a"
추출됨,낮음,전력계통공학,계통공학,352,7-4,grid_alias,PH 7-4,"PH 7-4 전력 계통에서의 무효 전력의 발생원과 소비원을 열거하여라. 또, 이들에게 과부족이 생겼을 경우의 문제점과 대책을 설명하여라.",ex-grid-0352-01,전력 계통에서의 무효 전력의 발생원과 소비원을 열거하여라.
추출됨,낮음,전력계통공학,계통공학,353,7-5,word,여제 7-5,"여제 7-5 그림 7-110) V,=1.0[PU], Vv, =0.95 [PU]",ex-grid-0353-01,"그림 7-110) V,=1.0[PU], Vv, =0.95 [PU] R=05 [이]. x= 2.5 [Q] 이라고 할 때, 부하가 1.0[PU], 역률이 80(%](지상)일 Aol 소요될 조상 용량과 그 설비를 보여라. 단. 661 /1. 100[MVAIE 기준으로 한다. % 동 것 더 refs 007 3 PQ A Jee 그림 7-1 Om 주어진 데이터를 Pues 나타내면 25 = 667/100"
추출됨,낮음,전력계통공학,계통공학,361,7-6,grid_alias,oI 7-6,"oI 7-6 1B4E7/OAKV], 174, 정격 용량 100[MvA], 임피던스 1[%]의 LAC 1차 측이 1541 41로 일정 하게 유지되고 있을 때 다음과 같은 경우에 대해서 LAC 1탭 변화에 의한 전압, 무효 전력 변",ex-grid-0361-01,"1B4E7/OAKV], 174, 정격 용량 100[MvA], 임피던스 1[%]의 LAC 1차 측이 1541 41로 일정 하게 유지되고 있을 때 다음과 같은 경우에 대해서 LAC 1탭 변화에 의한 전압, 무효 전력 변 화분을 구하여라."
추출됨,낮음,전력계통공학,계통공학,383,8-1,grid_alias,oI 8-1,"oI 8-1 그림 819) 3상 송전 계통에서 발전기 G,, 는 어느 것이나 SB 20[Mval, 전압 6.61 /], 리맥턴스 20[%), 변압기 TE 용량 40[MVA], 전압 6.6/660 ], 리액턴스 Bl], 송전 선로는",ex-grid-0383-01,"그림 819) 3상 송전 계통에서 발전기 G,, 는 어느 것이나 SB 20[Mval, 전압 6.61 /], 리맥턴스 20[%), 변압기 TE 용량 40[MVA], 전압 6.6/660 ], 리액턴스 Bl], 송전 선로는 길이 20097], 리액턴스 0.6[O/kmIO Ch 지금 무부하 운전 중에 수전단 점에서 3상 단락 고장이 발생하였을 경우의 고장 전류(단락 전류)를 구하여라."
추출됨,낮음,전력계통공학,계통공학,384,8-2,grid_alias,wi 8-2,wi 8-2 그림 2-29 같은 발전소에서의 각 유입 차단기 1(008의 차단 용량을 계산하여라. Gh,ex-grid-0384-01,그림 2-29 같은 발전소에서의 각 유입 차단기 1(008의 차단 용량을 계산하여라.
추출됨,낮음,전력계통공학,계통공학,393,8-3,grid_alias,wi 8-3 es,"wi 8-3 es 정격 1O[MVA], 무부하 단자 전압 6.60 ]의 동기 발전기가 있다. 이 발전기의 대칭분 임피던 스는 다음과 같다.",ex-grid-0393-01,"es 정격 1O[MVA], 무부하 단자 전압 6.60 ]의 동기 발전기가 있다. 이 발전기의 대칭분 임피던 스는 다음과 같다. . J, =0.08+ 7 4.38 [Q] %=0.49+ 71.34 [Q] ㅣ % =0-16+ 5 0.54 [0]"
추출됨,낮음,전력계통공학,계통공학,401,8-5,grid_alias,Wl 8-5,Wl 8-5 그림 8-102 같은 송전 ABO 발전기 ASHE] 전동기 Boll 송전하고 있다. 선로의 도중에 Af 선간 단락 고장이 일어났을 때 고장 직후의 송전 전력은 고장 전의 정상적인 송전 전력에,ex-grid-0401-01,"그림 8-102 같은 송전 ABO 발전기 ASHE] 전동기 Boll 송전하고 있다. 선로의 도중에 Af 선간 단락 고장이 일어났을 때 고장 직후의 송전 전력은 고장 전의 정상적인 송전 전력에 비해 얼마로 줄어들겠는가 단, 회로의 저항분 및 정전 용량은 무시하고 동일 용량으로 환산 한 Zt 구간의 % 리맥턴스는 아래와 같은 값을 가진다고 한다. 기의 정상 BHA ay, = 25 [%] 기의 역"
추출됨,낮음,전력계통공학,계통공학,412,8-6,grid_alias,Wl 86,"Wl 86 그림 S192 같은 DA 접지의 송전 계통에 있어서 CHolAl 1선 지락 고장이 발생하였을 경우의 지락 전류를 계산하여라. 단, 기기의 정수는 도시한 바와 같이 송전 선로의 정상 임피던",ex-grid-0412-01,그림 S192 같은 DA 접지의 송전 계통에 있어서 CHolAl 1선 지락 고장이 발생하였을 경우의 지락 전류를 계산하여라.
추출됨,낮음,전력계통공학,계통공학,415,8-7,grid_alias,wi 8-7,"wi 8-7 그림 8-21과 BE A, 6 양 발전소를 연결하는 154[ /]의 3상 송전선이 있다. 무부하 상태에 서 송전 선로의 중앙에서 6, 2썬이 동시에 지락 고장을 일으켰다. 이 경우의 건전선 의 고",ex-grid-0415-01,"그림 8-21과 BE A, 6 양 발전소를 연결하는 154[ /]의 3상 송전선이 있다. 무부하 상태에 서 송전 선로의 중앙에서 6, 2썬이 동시에 지락 고장을 일으켰다. 이 경우의 건전선 의 고 장 전과 고장 후의 전위를 비교하여라."
추출됨,낮음,전력계통공학,계통공학,428,8-8,grid_alias,21 8-8,21 8-8 그림 8-322 같은 154] SH 선로의 중앙점 에서 141 지락 사고가 Bes 경우의 지 락 전류의 값을 구하여라.,ex-grid-0428-01,그림 8-322 같은 154] SH 선로의 중앙점 에서 141 지락 사고가 Bes 경우의 지 락 전류의 값을 구하여라.
추출됨,낮음,전력계통공학,계통공학,441,8-9,word,이제 8-9,이제 8-9 방사상 송전 선로의 단락 보호 방식에 대해 설명하여라. 0 의 (1) 전원이 1단에만 있을 경우,ex-grid-0441-01,방사상 송전 선로의 단락 보호 방식에 대해 설명하여라.
추출됨,낮음,전력계통공학,계통공학,442,8-10,grid_alias,WA 870,WA 870 우리나라 송전 계통은 과거의 방사상 계통에서 환상0000) 계통으로 바뀌었다. 앞의 예제와 같은 조건에서의 환상 선로의 단락 보호 방식에 대해 설명하여라.,ex-grid-0442-01,우리나라 송전 계통은 과거의 방사상 계통에서 환상0000) 계통으로 바뀌었다. 앞의 예제와 같은 조건에서의 환상 선로의 단락 보호 방식에 대해 설명하여라.
추출됨,낮음,전력계통공학,계통공학,444,8-11,word,예제 8-11,예제 8-11 송전 선로의 지락 보호 방식에 대해 설명하여라.,ex-grid-0444-01,송전 선로의 지락 보호 방식에 대해 설명하여라.
추출됨,낮음,전력계통공학,계통공학,450,100,grid_alias,"wa 100,000 VA]","wa 100,000 VA] 으로 구하여라. 단, 계산에 사용할 수치 stem [200 는 그림 8-44에 나타낸 것과 같다고 한 x= 70.5[Q/km] 3",ex-grid-0450-01,",000 VA] 으로 구하여라."
추출됨,낮음,전력계통공학,계통공학,473,9-7,grid_alias,wl 97,"wl 97 그림 9-9와 같은 17] 무한대 모선 계통의 정태 ISS 해석하여라. 단, 그림에서의 SE 값",ex-grid-0473-01,"그림 9-9와 같은 17] 무한대 모선 계통의 정태 ISS 해석하여라. 단, 그림에서의 SE 값 2 1000[MVA] 기준의 단위값이라고 한다. 로 js jo 자 Ey, Zé, 1.05 24, 1.020 그림 9-9 모델 계동 OW) 발전기의 전류 는 i- ita 0 발전기의 내부 전압 BS"
추출됨,낮음,전력계통공학,계통공학,475,9-2,grid_alias,Mi 9-2,"Mi 9-2 그림 O12 같은 1기 무한대 계통에서 안정한 운전 상태로 운전하고 있을 때 발전기 출력에 미소한 동요가 발생하였다. 이 전력 동요의 주기를 구하여라. 또, 정태 안정도가 좋을수록 동",ex-grid-0475-01,그림 O12 같은 1기 무한대 계통에서 안정한 운전 상태로 운전하고 있을 때 발전기 출력에 미소한 동요가 발생하였다. 이 전력 동요의 주기를 구하여라.
추출됨,낮음,전력계통공학,계통공학,476,9-3,word,이제 9-3,이제 9-3 그림 9-ㄱ12와 같이 발전기와 전동기가 송전 MES 통해서 연결된 2기 시스템이 정상 상태로 문전하고 있다. 다음 두 가지 경우에 대한 정태 안정도를 해석하여라.,ex-grid-0476-01,"그림 9-ㄱ12와 같이 발전기와 전동기가 송전 MES 통해서 연결된 2기 시스템이 정상 상태로 문전하고 있다. 다음 두 가지 경우에 대한 정태 안정도를 해석하여라. 단, 수전 전력은 1202], 전동기의 SHS 1.0이라고 한다. (1) 송전 선로가 평행 2회선인 경우 (2) 송전 선로가 1회선인 경우 2 Xn , ㅠㅠ V, E, Xi if Xe ie X, Xm = Xn 그림 9-12 271"
추출됨,낮음,전력계통공학,계통공학,488,9-6,grid_alias,Wi 9-6,Wi 9-6 AB 9-199 같이 발전기와 전동기가 송전 MSS 통해서 연결된 27] 시스템의 운동 방정식 을 유도하여라.,ex-grid-0488-01,"AB 9-199 같이 발전기와 전동기가 송전 MSS 통해서 연결된 27] 시스템의 운동 방정식 을 유도하여라. 찌=9.0. y= Ey2 0 1 x ㆍ 발전기 (00 ---ㅜ-0-----ㅠ-(025기 M Pa Pur Ma Pa Pe oral 출력) glad 출력) 그림 9-19 27) AS OW) 발전기를 첨자 1, 전동기를 첨자 2로 표시하면 각각의 운동 방정식은 1기 무한대 계동 따와 마 "
추출됨,낮음,전력계통공학,계통공학,562,10-2,grid_alias,WA 10-2,WA 10-2 우리나라의 전력시장에서는 거래 가격을 어떻게 결정하고 있는가 QED) 전력시장에서 결정되는 전기의 가격은 경쟁 시장에서 일반 ABS) 가격이 수요와 공급의 균형,ex-grid-0562-01,"우리나라의 전력시장에서는 거래 가격을 어떻게 결정하고 있는가 QED) 전력시장에서 결정되는 전기의 가격은 경쟁 시장에서 일반 ABS) 가격이 수요와 공급의 균형 점에서 결정되는 원리와 같다. 우리나라 전력시장의 시장 가격은 1시간 단위로 전력 거래 당일 하루 전에 결정되며, 하루 전에 예측된 전력수요곡선과 공급 입찰에 참여하는 발전기들로 형성 되는 공급 곡선이 교차하는 점에서 거래 가격이 매"
추출됨,낮음,최신 발전공학,발전공학,15,1.1,word,( 예제1.1 에너지의 대량소비에 따른 환경파괴 문제에 대해서 설명하여라.,"( 예제1.1 에너지의 대량소비에 따른 환경파괴 문제에 대해서 설명하여라. 인류가 활동을 지속하기 위해서는 에너지는 필수 불가결한 것이다. 오늘날 우리는 연간 석유 환산톤으로 90~100억 [이라는 막대한 에너지를 소비하고 있는데, 그 대",ex-generation-0015-01,에너지의 대량소비에 따른 환경파괴 문제에 대해서 설명하여라.
추출됨,낮음,최신 발전공학,발전공학,29,2.2,word,"( 예제 2.2 유효낙차 3017], 출력 20,000[ 401의 수력 발전소를 전부하로 운전할 경우, 1","( 예제 2.2 유효낙차 3017], 출력 20,000[ 401의 수력 발전소를 전부하로 운전할 경우, 1 시간당의 사용수량은 몇 [0 인가 단, 수차 및 발전기의 SSS 각각 82[%] 및 95[%]라고 한다.",ex-generation-0029-02,"유효낙차 3017], 출력 20,000[ 401의 수력 발전소를 전부하로 운전할 경우, 1 시간당의 사용수량은 몇 [0 인가 단, 수차 및 발전기의 SSS 각각 82[%] 및 95[%]라고 한다. 수차 및 발전기의 효율이 주어졌기 때문에 매초당의 사용수량 QE _ 20,000 _ O= Sexaoxosmxons 7 3lm /s 로 되므로 1시간당의 사용수량 QE Q) =87.3 60 x 60 "
추출됨,낮음,최신 발전공학,발전공학,29,21,word,"( 예제 21 총 낙차(29) 300[m], 사용수량(0) 20[m /slel 발전소의 수차출력( ,), 발전","( 예제 21 총 낙차(29) 300[m], 사용수량(0) 20[m /slel 발전소의 수차출력( ,), 발전 기 출력(2 , )을 구하여라. Ct FASS 는 90[%], 발전기 효율 /,는 98[%]라 하고 SAM AHA) 총 낙차의 6(%]라고 한다.",ex-generation-0029-01,"총 낙차(29) 300[m], 사용수량(0) 20[m /slel 발전소의 수차출력( ,), 발전 기 출력(2 , )을 구하여라."
추출됨,낮음,최신 발전공학,발전공학,40,24,word,( 예제 24 수력발전과 비교해서 조력발전의 특징을 설명하여라.,"( 예제 24 수력발전과 비교해서 조력발전의 특징을 설명하여라. 일반적인 수력발전에 대해 조력발전의 차이점(특징)은 다음과 같은 것을 들 수 있다. (0 AYA, 대응량이기 때문에 이에 적함한 수력 터빈(원동형 수차 등)을 채용하여야",ex-generation-0040-01,수력발전과 비교해서 조력발전의 특징을 설명하여라.
추출됨,낮음,최신 발전공학,발전공학,41,2.5,word,"( 예제 2.5 상시 출력 8,000[kw], 상시 첨두출력 12.000[ ], 8시간 계속 발전할 수 있는","( 예제 2.5 상시 출력 8,000[kw], 상시 첨두출력 12.000[ ], 8시간 계속 발전할 수 있는 BSAA 수력 발전소가 있다. 평균 유효낙차가 60[0)이고 수차, 발전기의 종 합효율이 80[%]라고 할 때. 저수면적 80,000[07로 단면적이 일정한 이 조정",ex-generation-0041-01,"상시 출력 8,000[kw], 상시 첨두출력 12.000[ ], 8시간 계속 발전할 수 있는 BSAA 수력 발전소가 있다. 평균 유효낙차가 60[0)이고 수차, 발전기의 종 합효율이 80[%]라고 할 때. 저수면적 80,000[07로 단면적이 일정한 이 조정 지에서는 위와 같은 SHS AAS 경우 수심 몇 [7]까지 사용하면 되겠는가 단, 이 조정지에서는 낙차변동의 영향은 무시하는 것으로 한"
추출됨,낮음,최신 발전공학,발전공학,42,2.6,word,( 예제 2.6 유효 저수용량 200x10 [mo] 조정지를 갖는 유효낙차가 80[0)인 수력 발전,"( 예제 2.6 유효 저수용량 200x10 [mo] 조정지를 갖는 유효낙차가 80[0)인 수력 발전 소가 있다. 자연유량이 25 [01 /6]일 때 그림 2.13과 같은 부하곡선으로 운전하 였을 경우의 첨두부하 시 및 저수 시(곧 경부하시가 됨)의 출력을 구하여라. 단,",ex-generation-0042-01,유효 저수용량 200x10 [mo] 조정지를 갖는 유효낙차가 80[0)인 수력 발전 소가 있다. 자연유량이 25 [01 /6]일 때 그림 2.13과 같은 부하곡선으로 운전하 였을 경우의 첨두부하 시 및 저수 시(곧 경부하시가 됨)의 출력을 구하여라.
추출됨,낮음,최신 발전공학,발전공학,44,2.8,word,"( 에제 2.8 경사 1/1,500, Sz 3[070의 HES 갖는 수력 발전소가 있다. 이 발전소의 a","( 에제 2.8 경사 1/1,500, Sz 3[070의 HES 갖는 수력 발전소가 있다. 이 발전소의 a 수구와 방수구와의 TARE 170[m], 수압관의 손실낙차를 1.5[01], 방수구의 손실낙차를 1 [m], 최대 사용수량을 매초 50[077 라고 한다면 이 발전소에서 발",ex-generation-0044-01,"경사 1/1,500, Sz 3[070의 HES 갖는 수력 발전소가 있다. 이 발전소의 a 수구와 방수구와의 TARE 170[m], 수압관의 손실낙차를 1.5[01], 방수구의 손실낙차를 1 [m], 최대 사용수량을 매초 50[077 라고 한다면 이 발전소에서 발 생할 수 있는 최대출력은 몇 [ /]인가 또, 발전소가 연부하율 60[%]로 운전 할 경우 연간 발생 전력량은 얼마[ ]인가 단, "
추출됨,낮음,최신 발전공학,발전공학,45,2.9,word,( 예제 2.9 낙차 30[071의 상부 저수지에 OHA 30[0 1의 수량을 4시간 연속해서 양수한 다,"( 예제 2.9 낙차 30[071의 상부 저수지에 OHA 30[0 1의 수량을 4시간 연속해서 양수한 다 음 이것을 방류해서 발전할 경우 (1) 양수용 전력량 Ww,",ex-generation-0045-01,"낙차 30[071의 상부 저수지에 OHA 30[0 1의 수량을 4시간 연속해서 양수한 다 음 이것을 방류해서 발전할 경우 (1) 양수용 전력량 Ww, (2) 조정지 BBV (3) 발전 전력량 We (4) 양수 발전의 효율 7 를 구하여라."
추출됨,낮음,최신 발전공학,발전공학,52,3.1,word,( 에제3.1 그림 3.2와 같이 수심이 50[00(인 수조가 있다. 이 수조의 측면에 미치는 수압,( 에제3.1 그림 3.2와 같이 수심이 50[00(인 수조가 있다. 이 수조의 측면에 미치는 수압 쓰는 얼마인가 50120,ex-generation-0052-01,"그림 3.2와 같이 수심이 50[00(인 수조가 있다. 이 수조의 측면에 미치는 수압 쓰는 얼마인가 50120 그림 3.2 정수 중 임의의 깊이 AA 압력의 세기 pe p=1,000H [kg/m ]= 7 H[kg/om ] roy a Hm) pS Aol vase 그림 3.3에서 AW p,=0(H=0) Cc B 1 qyatke/cm ] Ba pg=1,000H [ke/m ]= 75 [ke/em ]"
추출됨,낮음,최신 발전공학,발전공학,61,3.3,word,( 예제 3.3 그림 3.11과 같은 수조에 물이 채워져 있다. 수면으로부터 20 [01] 깊이의 측벽,"( 예제 3.3 그림 3.11과 같은 수조에 물이 채워져 있다. 수면으로부터 20 [01] 깊이의 측벽 에 분출공을 들었을 때 물이 이 구멍으로부터 분출하는 분출속도를 구하여라. 단, 이때의 손실은 무시하는 것으로 한다.",ex-generation-0061-01,그림 3.11과 같은 수조에 물이 채워져 있다. 수면으로부터 20 [01] 깊이의 측벽 에 분출공을 들었을 때 물이 이 구멍으로부터 분출하는 분출속도를 구하여라.
추출됨,낮음,최신 발전공학,발전공학,61,3.4,word,( 예제 3.4 낙차가 중간 정도의 수력 발전소에서 유효낙차 [00]가 변화하였을 경우 이에,"( 예제 3.4 낙차가 중간 정도의 수력 발전소에서 유효낙차 [00]가 변화하였을 경우 이에 따라 수차의 최대출력 PE 어떻게 변화하는가 단, 이 경우 수차효율 n= 일 정하다고 한다.",ex-generation-0061-02,"낙차가 중간 정도의 수력 발전소에서 유효낙차 [00]가 변화하였을 경우 이에 따라 수차의 최대출력 PE 어떻게 변화하는가 단, 이 경우 수차효율 n= 일 정하다고 한다. 수차출력 P= 9.8 QHn, 000] 그림 8.1에서 수압관 출구의 단면적을 Alm ), 48 vlm/slet 하면 수량 Q [m/s] 는 연속의 원리에 따라 Qz= Av [m/s] 3 한편, 유속 vb 토리첼리의 정리로부"
추출됨,낮음,최신 발전공학,발전공학,67,4.3,word,"( 예제 4.3 평균표고 300[m], 면적 50만[79인 지역의 연간 강수량이 1500[0071일 때","( 예제 4.3 평균표고 300[m], 면적 50만[79인 지역의 연간 강수량이 1500[0071일 때 이론 포장(원를)수력, 포장수력 및 발전소 용량을 구하여라. 단, 유출계수는 0,75, 발전소의 설비 이용률은 0.6이라고 가정한다.",ex-generation-0067-01,"평균표고 300[m], 면적 50만[79인 지역의 연간 강수량이 1500[0071일 때 이론 포장(원를)수력, 포장수력 및 발전소 용량을 구하여라."
추출됨,낮음,최신 발전공학,발전공학,67,4.4,word,( 예제 4.4 다음과 같은 수력 발전소의 최대 출력을 계산하여라.,"( 예제 4.4 다음과 같은 수력 발전소의 최대 출력을 계산하여라. SABA 160[km ] 최고 유효낙차 12017] 연간 강우량 1,500[mm] BUSES 85[%]",ex-generation-0067-02,다음과 같은 수력 발전소의 최대 출력을 계산하여라.
추출됨,낮음,최신 발전공학,발전공학,72,4.5,word,"( 예제 4.5 유역면적 A00[km ], 1년간의 총강수량 1.500[000인 수력지점이 있다. 유출계","( 예제 4.5 유역면적 A00[km ], 1년간의 총강수량 1.500[000인 수력지점이 있다. 유출계 수를 70[%]라 하고 HFSS 연간 평균유량의 1/3 이라고 할 때 이 하천의 저수 Be 얼마인가",ex-generation-0072-01,"유역면적 A00[km ], 1년간의 총강수량 1.500[000인 수력지점이 있다. 유출계 수를 70[%]라 하고 HFSS 연간 평균유량의 1/3 이라고 할 때 이 하천의 저수 Be 얼마인가 연간 BERS Olm/ske 식 (4.1로부터 저수량은 연간 평균 유량 (2 의 1/9이라고 하였으므로 13.32 ie 4.44 [m /s] ("
